timestamp,open,high,low,close,volume
2024-11-15 19:59:00,142.6400,142.7000,142.6200,142.6999,18244
2024-11-15 19:58:00,142.5800,142.6300,142.5297,142.6300,27503
2024-11-15 19:57:00,142.5300,142.5800,142.5100,142.5400,14995
2024-11-15 19:56:00,142.5300,142.5500,142.5200,142.5400,10701
2024-11-15 19:55:00,142.5250,142.5500,142.5100,142.5400,23508
2024-11-15 19:54:00,142.5550,142.5600,142.5000,142.5392,9988
2024-11-15 19:53:00,142.5499,142.5700,142.5400,142.5550,10282
2024-11-15 19:52:00,142.5800,142.5800,142.5300,142.5500,4666
2024-11-15 19:51:00,142.5699,142.5800,142.5257,142.5700,13590
2024-11-15 19:50:00,142.5200,142.5700,142.5100,142.5700,24104
2024-11-15 19:49:00,142.4700,142.5300,142.4600,142.5300,14111
2024-11-15 19:48:00,142.4900,142.5000,142.4600,142.4900,5012
2024-11-15 19:47:00,142.4800,142.5100,142.4700,142.5000,10391
2024-11-15 19:46:00,142.4799,142.5000,142.4500,142.4700,10502
2024-11-15 19:45:00,142.4800,142.4900,142.4500,142.4650,8040
2024-11-15 19:44:00,142.5200,142.5200,142.4700,142.4900,13221
2024-11-15 19:43:00,142.5400,142.5494,142.5100,142.5200,2863
2024-11-15 19:42:00,142.5300,142.5500,142.5300,142.5301,8456
2024-11-15 19:41:00,142.4900,142.5500,142.4600,142.5300,7531
2024-11-15 19:40:00,142.5100,142.5200,142.4700,142.4900,5949
2024-11-15 19:39:00,142.5000,142.5200,142.4800,142.5200,4355
2024-11-15 19:38:00,142.5600,142.5700,142.5000,142.5300,14432
2024-11-15 19:37:00,142.5600,142.5700,142.5300,142.5600,3705
2024-11-15 19:36:00,142.5300,142.5700,142.5200,142.5700,5648
2024-11-15 19:35:00,142.5400,142.5600,142.5300,142.5500,3687
2024-11-15 19:34:00,142.5700,142.5700,142.5300,142.5600,6149
2024-11-15 19:33:00,142.5300,142.5600,142.5100,142.5600,4224
2024-11-15 19:32:00,142.5100,142.5500,142.5000,142.5500,6049
2024-11-15 19:31:00,142.5000,142.5500,142.4800,142.5000,10720
2024-11-15 19:30:00,142.5000,142.5100,142.4800,142.5100,3645
2024-11-15 19:29:00,142.5300,142.5300,142.4800,142.5100,10659
2024-11-15 19:28:00,142.5400,142.5500,142.5200,142.5399,3253
2024-11-15 19:27:00,142.5500,142.5500,142.5300,142.5500,7124
2024-11-15 19:26:00,142.5450,142.5700,142.5300,142.5300,4709
2024-11-15 19:25:00,142.5699,142.5700,142.5200,142.5200,2182
2024-11-15 19:24:00,142.5500,142.5700,142.5400,142.5700,3374
2024-11-15 19:23:00,142.5670,142.5700,142.5205,142.5400,2591
2024-11-15 19:22:00,142.5400,142.5800,142.5200,142.5500,13892
2024-11-15 19:21:00,142.4800,142.5400,142.4700,142.5300,11401
2024-11-15 19:20:00,142.4800,142.5000,142.4800,142.5000,2603
2024-11-15 19:19:00,142.5000,142.5000,142.4800,142.4900,8927
2024-11-15 19:18:00,142.4800,142.5000,142.4600,142.5000,12236
2024-11-15 19:17:00,142.4600,142.4800,142.4600,142.4700,4696
2024-11-15 19:16:00,142.4800,142.4900,142.4300,142.4794,7277
2024-11-15 19:15:00,142.4499,142.4800,142.4300,142.4700,1743
2024-11-15 19:14:00,142.4900,142.4900,142.4300,142.4500,5566
2024-11-15 19:13:00,142.4400,142.5000,142.4300,142.4900,13146
2024-11-15 19:12:00,142.4000,142.4400,142.3900,142.4399,8463
2024-11-15 19:11:00,142.3800,142.4200,142.3700,142.4100,9222
2024-11-15 19:10:00,142.3800,142.3800,142.3600,142.3800,3927
2024-11-15 19:09:00,142.3850,142.3900,141.9800,142.3800,318524
2024-11-15 19:08:00,142.3800,142.3900,142.3700,142.3800,4190
2024-11-15 19:07:00,142.3450,142.3900,142.3450,142.3900,1830
2024-11-15 19:06:00,142.3500,142.3700,142.3400,142.3400,2014
2024-11-15 19:05:00,142.3550,142.3700,142.3400,142.3500,1556
2024-11-15 19:04:00,142.3700,142.4000,142.3400,142.3550,7458
2024-11-15 19:03:00,142.3300,142.4000,142.3300,142.4000,5835
2024-11-15 19:02:00,142.3150,142.3500,142.3142,142.3499,2022
2024-11-15 19:01:00,142.3300,142.3300,142.3000,142.3150,3681
2024-11-15 19:00:00,142.3295,142.3300,142.3000,142.3150,3017
2024-11-15 18:59:00,142.3299,142.3300,142.3000,142.3200,1672
2024-11-15 18:58:00,142.3050,142.3300,142.3000,142.3200,2067
2024-11-15 18:57:00,142.3297,142.3300,142.2900,142.3100,1922
2024-11-15 18:56:00,142.3200,142.3500,142.3000,142.3081,2016
2024-11-15 18:55:00,142.3500,142.3500,142.3000,142.3500,4130
2024-11-15 18:54:00,142.3500,142.3500,142.3000,142.3250,4521
2024-11-15 18:53:00,142.3500,142.3600,142.3100,142.3400,1318
2024-11-15 18:52:00,142.3200,142.3500,142.3100,142.3300,3182
2024-11-15 18:51:00,142.2950,142.3400,142.2800,142.3250,5139
2024-11-15 18:50:00,142.3000,142.3100,142.2800,142.2950,4781
2024-11-15 18:49:00,142.3300,142.3300,142.2900,142.3100,4495
2024-11-15 18:48:00,142.3500,142.3500,142.3100,142.3300,752
2024-11-15 18:47:00,142.3200,142.3500,142.2800,142.3250,5039
2024-11-15 18:46:00,142.3300,142.3400,142.3000,142.3000,6865
2024-11-15 18:45:00,142.3400,142.3400,142.3100,142.3300,1641
2024-11-15 18:44:00,142.3401,142.3500,142.3000,142.3250,4295
2024-11-15 18:43:00,142.3300,142.3700,142.3200,142.3500,4132
2024-11-15 18:42:00,142.3100,142.3500,142.2900,142.3500,7413
2024-11-15 18:41:00,142.3100,142.3200,142.2600,142.3100,1960
2024-11-15 18:40:00,142.3100,142.3200,142.2600,142.3200,4669
2024-11-15 18:39:00,142.3000,142.3200,142.2900,142.3100,2598
2024-11-15 18:38:00,142.2748,142.3200,142.2700,142.3200,2754
2024-11-15 18:37:00,142.3200,142.3200,142.2700,142.2850,1797
2024-11-15 18:36:00,142.3000,142.3200,142.3000,142.3200,4589
2024-11-15 18:35:00,142.3100,142.3300,142.2700,142.3000,6876
2024-11-15 18:34:00,142.2700,142.3100,142.2600,142.3100,4862
2024-11-15 18:33:00,142.2700,142.2800,142.2500,142.2700,2537
2024-11-15 18:32:00,142.2800,142.2800,142.2500,142.2800,1020
2024-11-15 18:31:00,142.2700,142.2800,142.2400,142.2800,2944
2024-11-15 18:30:00,142.2300,142.3000,142.2200,142.2700,6060
2024-11-15 18:29:00,142.2500,142.2500,142.2100,142.2400,2786
2024-11-15 18:28:00,142.2300,142.2500,142.2200,142.2400,3771
2024-11-15 18:27:00,142.2500,142.2600,142.2100,142.2500,8222
2024-11-15 18:26:00,142.2600,142.2800,142.2300,142.2500,1425
2024-11-15 18:25:00,142.2500,142.2800,142.2000,142.2500,8808
2024-11-15 18:24:00,142.2300,142.2700,142.2100,142.2200,3278
2024-11-15 18:23:00,142.2200,142.2500,142.2000,142.2400,4908
2024-11-15 18:22:00,142.2700,142.2700,142.2000,142.2500,5380
2024-11-15 18:21:00,142.2800,142.3000,142.2500,142.2500,8392
2024-11-15 18:20:00,142.3000,142.3200,142.2700,142.2900,7040
2024-11-15 18:19:00,142.3500,142.3600,142.2850,142.2992,5738
2024-11-15 18:18:00,142.3500,142.3700,142.3200,142.3500,7472
2024-11-15 18:17:00,142.3300,142.3700,142.3100,142.3499,4162
2024-11-15 18:16:00,142.3900,142.4100,142.2700,142.3150,21336
2024-11-15 18:15:00,142.3600,142.3900,142.3300,142.3900,5609
2024-11-15 18:14:00,142.2600,142.3600,142.2600,142.3371,7510
2024-11-15 18:13:00,142.3200,142.3600,142.2500,142.3100,17463
2024-11-15 18:12:00,142.2900,142.3300,142.2600,142.3200,15353
2024-11-15 18:11:00,142.2300,142.3000,142.2000,142.2600,19189
2024-11-15 18:10:00,142.2300,142.2400,142.2200,142.2300,4604
2024-11-15 18:09:00,142.2200,142.2500,142.2000,142.2300,6702
2024-11-15 18:08:00,142.2200,142.2200,142.1900,142.2200,2401
2024-11-15 18:07:00,142.1900,142.2200,142.1700,142.2100,3165
2024-11-15 18:06:00,142.2300,142.2300,142.1500,142.2100,7196
2024-11-15 18:05:00,142.2200,142.2300,142.1600,142.2300,14988
2024-11-15 18:04:00,142.2200,142.2400,142.2100,142.2200,4813
2024-11-15 18:03:00,142.2100,142.2400,142.1900,142.2200,7745
2024-11-15 18:02:00,142.2400,142.2400,142.1800,142.1900,8575
2024-11-15 18:01:00,142.2100,142.2450,142.1600,142.2400,10562
2024-11-15 18:00:00,142.1700,142.2200,142.1500,142.2200,6794
2024-11-15 17:59:00,142.1000,142.1700,142.0700,142.1700,2638
2024-11-15 17:58:00,142.1150,142.1200,142.0700,142.1200,2627
2024-11-15 17:57:00,142.1700,142.2000,142.1150,142.1150,4894
2024-11-15 17:56:00,142.1700,142.2000,142.1451,142.1700,6271
2024-11-15 17:55:00,142.1500,142.2000,142.1400,142.1600,7024
2024-11-15 17:54:00,142.2100,142.2200,142.1100,142.1900,6054
2024-11-15 17:53:00,142.1000,142.2200,142.0500,142.2200,36596
